training_sample_size,sampling_seed,candidate_rank,state_id,visited_count,support_fraction,minimum_support_used,minimum_support_fraction_used,logistic_regression_coefficient,positive_logistic_score,random_forest_importance,empirical_target_probability_if_visited,empirical_target_probability_if_not_visited,empirical_probability_difference,support_weight,combined_ranking_score
2500,42,12,62,442,0.1768,13,0.0052,0.06735136333319945,0.12114613156299325,0.017761931730532934,0.30995475113122173,0.2784256559766764,0.03152909515454533,0.9714285714285714,0.20385625739318533
2500,42,13,98,97,0.0388,13,0.0052,0.30142471143905064,0.5421781526185157,0.00782631931967834,0.27835051546391754,0.2842280482729921,-0.005877532809074548,0.8818181818181818,0.20385052932020553
2500,42,14,81,254,0.1016,13,0.0052,-0.1503907350326398,0.0,0.02715593733621851,0.3031496062992126,0.28183437221727514,0.021315234081937473,0.951310861423221,0.20187454583193615
2500,42,15,59,1947,0.7788,13,0.0052,0.1733019038629792,0.3117213105492211,0.012594925700173357,0.2773497688751926,0.3074141048824593,-0.030064336007266712,0.9933673469387755,0.18386025257147234
2500,42,16,66,1967,0.7868,13,0.0052,-0.14114831377809064,0.0,0.028290999021080957,0.28012201321809865,0.29831144465290804,-0.01818943143480939,0.9934343434343434,0.18115278882694272
2500,42,17,49,193,0.0772,13,0.0052,0.09012477454373705,0.1621090836713433,0.013687556647589432,0.31088082901554404,0.28175119202427396,0.02912963699127008,0.9368932038834952,0.18087694544090765
2500,42,18,88,254,0.1016,13,0.0052,-0.1503907350326398,0.0,0.023028268747459054,0.3031496062992126,0.28183437221727514,0.021315234081937473,0.951310861423221,0.17656497117132272
2500,42,19,55,193,0.0772,13,0.0052,0.09012477454373705,0.1621090836713433,0.012642410009039129,0.31088082901554404,0.28175119202427396,0.02912963699127008,0.9368932038834952,0.1745655573249542
2500,42,20,73,1967,0.7868,13,0.0052,-0.14114831377809064,0.0,0.025378516035852287,0.28012201321809865,0.29831144465290804,-0.01818943143480939,0.9934343434343434,0.16250359178755752
2500,123,1,95,21,0.0084,13,0.0052,0.49107261889270826,1.0,0.029793220107312078,0.5714285714285714,0.28156514723678905,0.28986342419178235,0.6176470588235294,0.5501420869229722
2500,123,2,102,21,0.0084,13,0.0052,0.49107261889270826,1.0,0.02076004609150417,0.5714285714285714,0.28156514723678905,0.28986342419178235,0.6176470588235294,0.5081866702782003
2500,123,3,54,1947,0.7788,13,0.0052,0.37812665272693025,0.7700014991256213,0.019129309430133717,0.2809450436569081,0.29475587703435807,-0.013810833377449983,0.9933673469387755,0.3978595924612535
2500,123,4,59,1947,0.7788,13,0.0052,0.37812665272693025,0.7700014991256213,0.01826216187966513,0.2809450436569081,0.29475587703435807,-0.013810833377449983,0.9933673469387755,0.3913820515325188
2500,123,5,61,32,0.0128,13,0.0052,0.36449871915220744,0.7422501380225492,0.011563882861207717,0.40625,0.2824149108589951,0.12383508914100488,0.7111111111111111,0.33904444254101723
2500,123,6,55,195,0.078,13,0.0052,0.17385618171494266,0.35403354824987204,0.0211906755227415,0.3384615384615385,0.27939262472885035,0.05906891373268813,0.9375,0.32370795263364016
2500,123,7,78,97,0.0388,13,0.0052,0.30376071008448546,0.6185657648138033,0.012317428425005168,0.32989690721649484,0.28214731585518105,0.04774959136131379,0.8818181818181818,0.3119201191244738
2500,123,8,87,151,0.0604,13,0.0052,-0.6505089999696014,0.0,0.04432731860698565,0.23841059602649006,0.28693060876968923,-0.04852001274319917,0.9207317073170732,0.30691056910569103
2500,123,9,83,54,0.0216,13,0.0052,0.2486244874893802,0.5062886382262352,0.009537827091827277,0.3888888888888889,0.28168438266557644,0.10720450622331246,0.8059701492537313,0.2931855251959032
2500,123,10,74,345,0.138,13,0.0052,0.1419724165579514,0.28910676567159643,0.02117303369387986,0.2985507246376812,0.2816705336426914,0.016880190994989774,0.9636871508379888,0.26501196719242415
2500,123,11,89,32,0.0128,13,0.0052,-0.26161302584305907,0.0,0.02062789911793498,0.46875,0.2816045380875203,0.18714546191247972,0.7111111111111111,0.2633451456114084
2500,123,12,67,345,0.138,13,0.0052,0.1419724165579514,0.28910676567159643,0.020723471521813794,0.2985507246376812,0.2816705336426914,0.016880190994989774,0.9636871508379888,0.2617541019726782
2500,123,13,49,196,0.0784,13,0.0052,0.09535548123857213,0.19417796384897978,0.018121291854224987,0.336734693877551,0.2795138888888889,0.05722080498866211,0.937799043062201,0.25020180253955787
2500,123,14,66,1963,0.7852,13,0.0052,0.11138888683191779,0.22682772882569235,0.02248811091627008,0.28222109016811003,0.2905027932960894,-0.008281703127979378,0.993421052631579,0.24310575454572542
2500,123,15,82,32,0.0128,13,0.0052,-0.26161302584305907,0.0,0.015182217315991202,0.46875,0.2816045380875203,0.18714546191247972,0.7111111111111111,0.2342247674891946
2500,123,16,77,412,0.1648,13,0.0052,0.14032448668857947,0.2857509893444867,0.016190665998389964,0.30097087378640774,0.28065134099616856,0.02031953279023918,0.9694117647058823,0.23301553606479436
2500,123,17,93,118,0.0472,13,0.0052,0.33800802157311177,0.6883055755282526,0.002712312185713745,0.2627118644067797,0.2850545759865659,-0.022342711579786234,0.9007633587786259,0.22503886622974617
2500,123,18,70,412,0.1648,13,0.0052,0.14032448668857947,0.2857509893444867,0.012820091867919804,0.30097087378640774,0.28065134099616856,0.02031953279023918,0.9694117647058823,0.20844472722295188
2500,123,19,73,1963,0.7852,13,0.0052,0.11138888683191779,0.22682772882569235,0.017601737686338877,0.28222109016811003,0.2905027932960894,-0.008281703127979378,0.993421052631579,0.20660286204680164
2500,123,20,98,104,0.0416,13,0.0052,0.29499614855454115,0.6007179736872954,0.003895320651197425,0.2692307692307692,0.2846410684474123,-0.015410299216643109,0.8888888888888888,0.20402793229663926
2500,456,1,75,61,0.0244,13,0.0052,0.7006269038976557,1.0,0.023520292449779993,0.36065573770491804,0.2820828208282083,0.07857291687670975,0.8243243243243243,0.5527712791424706
2500,456,2,69,61,0.0244,13,0.0052,0.7006269038976557,1.0,0.021609061706450373,0.36065573770491804,0.2820828208282083,0.07857291687670975,0.8243243243243243,0.5395200193951292
2500,456,3,74,345,0.138,13,0.0052,0.28883830413433964,0.41225694093033544,0.03963079790556387,0.3130434782608696,0.27935034802784225,0.033693130233027335,0.9636871508379888,0.5112693822736817
2500,456,4,67,345,0.138,13,0.0052,0.28883830413433964,0.41225694093033544,0.03523846336103461,0.3130434782608696,0.27935034802784225,0.033693130233027335,0.9636871508379888,0.47566713531387117
2500,456,5,89,28,0.0112,13,0.0052,0.11422921813465191,0.1630385837300618,0.01985182993212524,0.4642857142857143,0.281957928802589,0.18232778548312528,0.6829268292682927,0.37207667471480776
2500,456,6,82,28,0.0112,13,0.0052,0.11422921813465191,0.1630385837300618,0.018425159647451367,0.4642857142857143,0.281957928802589,0.18232778548312528,0.6829268292682927,0.36388177356540957
2500,456,7,48,1939,0.7756,13,0.0052,0.375026440604508,0.5352726801072003,0.015964386071408827,0.28261990716864366,0.2887700534759358,-0.006150146307292159,0.9933401639344263,0.31061761936649324
2500,456,8,73,1970,0.788,13,0.0052,0.11949714798672752,0.17055746406818414,0.030158164893995684,0.28071065989847716,0.2962264150943396,-0.015515755195862457,0.9934442763489663,0.308476188033559
2500,456,9,66,1970,0.788,13,0.0052,0.11949714798672752,0.17055746406818414,0.0262115524175197,0.28071065989847716,0.2962264150943396,-0.015515755195862457,0.9934442763489663,0.27549897684993013
2500,456,10,61,26,0.0104,13,0.0052,0.28971081539586263,0.4135022703013161,0.008438807285623802,0.38461538461538464,0.28294260307194824,0.1016727815434364,0.6666666666666666,0.2594749055401733
2500,456,11,102,17,0.0068,13,0.0052,0.04021694176795803,0.05740136661071287,0.009466409630483157,0.47058823529411764,0.28272251308900526,0.18786572220511238,0.5666666666666667,0.24485030935001995
