training_sample_size,sampling_seed,random_repeat,random_seed,exact_probability_raising_count,mean_exact_probability_difference,mean_exact_candidate_reachability
500,123.0,77,504699,7,0.006257102545397145,0.3841853118746341
500,123.0,78,504700,9,0.021268425223060324,0.3045644766487149
500,123.0,79,504701,9,0.017359247579763187,0.29285472648255423
500,123.0,80,504702,13,0.042283254715890686,0.11119220606607402
500,123.0,81,504703,12,0.03566296623209375,0.17042544533559373
500,123.0,82,504704,9,0.025464238813885244,0.23230359545776044
500,123.0,83,504705,6,0.010196227602198255,0.389226467518741
500,123.0,84,504706,11,0.020686641745125703,0.283774264813003
500,123.0,85,504707,10,0.026590868061795215,0.18329028868624747
500,123.0,86,504708,7,0.020731125299053556,0.3040899198062437
500,123.0,87,504709,13,0.03167301050178713,0.19798224788542923
500,123.0,88,504710,13,0.031008821845145834,0.262437074546074
500,123.0,89,504711,10,0.024292548917588076,0.24981803050428725
500,123.0,90,504712,12,0.026433697367241243,0.22678020896267365
500,123.0,91,504713,12,0.03739763380971195,0.25416785786775986
500,123.0,92,504714,9,0.013538309988576103,0.26833143016694994
500,123.0,93,504715,9,0.009571140061169587,0.35271982800214097
500,123.0,94,504716,11,0.008211085385003165,0.22514112012124868
500,123.0,95,504717,10,0.03246812301708185,0.19253360520165266
500,123.0,96,504718,11,0.025996139619948684,0.14049324156716775
500,123.0,97,504719,12,0.041671002538415075,0.19046276342792107
500,123.0,98,504720,9,0.022717180905035293,0.25308066382730704
500,123.0,99,504721,13,0.03352657456979598,0.13698652885465418
500,123.0,100,504722,10,0.019757214773375036,0.3087898423475185
500,456.0,1,504956,10,0.028814998985317357,0.29496632443505655
500,456.0,2,504957,11,0.02429127674598746,0.23070661107994656
500,456.0,3,504958,10,0.03222626099067427,0.2200653148901104
500,456.0,4,504959,10,0.014177540527783705,0.21846502402096757
500,456.0,5,504960,12,0.03240686351047343,0.22147121128346597
500,456.0,6,504961,8,0.007038793353263015,0.3660774068319416
500,456.0,7,504962,10,0.020813117332459448,0.24890024554379586
500,456.0,8,504963,11,0.016813129271452537,0.2576833949225049
500,456.0,9,504964,8,0.00871262508213513,0.3302811378239825
500,456.0,10,504965,12,0.01924084680834993,0.26745742730909866
500,456.0,11,504966,9,0.0221895575900954,0.3046620905133447
500,456.0,12,504967,9,0.013280382439640253,0.2273773383610632
500,456.0,13,504968,11,0.014722811338283686,0.21172944552640777
500,456.0,14,504969,12,0.0278196438177666,0.17807915501477586
500,456.0,15,504970,7,0.005289838338893249,0.2710321405395211
500,456.0,16,504971,9,0.02158535865410719,0.3004279183789909
500,456.0,17,504972,14,0.04293604920288202,0.1384611560350501
500,456.0,18,504973,11,0.021416552223191877,0.281934167291625
500,456.0,19,504974,13,0.049553857090373396,0.17265087391627035
500,456.0,20,504975,9,0.008724394337787024,0.3352991810989981
500,456.0,21,504976,8,0.03328040290375068,0.28758193981277796
500,456.0,22,504977,7,0.01500471051414647,0.31291491736998656
500,456.0,23,504978,11,0.03237981186740664,0.26325320285046905
500,456.0,24,504979,12,0.03469686886436507,0.2137136551245113
500,456.0,25,504980,11,0.0233720026926373,0.2251300184625483
500,456.0,26,504981,8,0.020047964443923094,0.43833997702094124
500,456.0,27,504982,11,0.03552369673259162,0.2558434025074743
500,456.0,28,504983,12,0.024400155010796436,0.18705790007224224
500,456.0,29,504984,13,0.043794338971994876,0.18783988973199028
500,456.0,30,504985,11,0.0330689524553929,0.2216099197810411
500,456.0,31,504986,13,0.03333880427562499,0.1784066349278723
500,456.0,32,504987,12,0.03466192131563597,0.23693872142743247
500,456.0,33,504988,14,0.03679882934580052,0.1441779927844667
500,456.0,34,504989,8,0.009516319149674813,0.30963593033282655
500,456.0,35,504990,8,0.01848234494921533,0.30365012896777455
500,456.0,36,504991,9,0.023436920302253146,0.1606974464529889
500,456.0,37,504992,9,0.017659118987298095,0.2507719777157499
500,456.0,38,504993,12,0.04016863359352592,0.14542492526940778
500,456.0,39,504994,9,0.02472552595128357,0.3011371375382141
500,456.0,40,504995,7,0.007583201058399961,0.3010756064331284
500,456.0,41,504996,8,0.02269098902366024,0.29633752183793655
500,456.0,42,504997,10,0.016193276848721967,0.3084613978454574
500,456.0,43,504998,7,0.0145471231154708,0.34564166418333897
500,456.0,44,504999,10,0.026967850385548615,0.2972165613352059
500,456.0,45,505000,12,0.041146513950463606,0.19559524029711106
500,456.0,46,505001,8,0.02773777244581674,0.3631466607931183
500,456.0,47,505002,9,0.004902349795818065,0.1764708158996341
500,456.0,48,505003,10,0.030991652021459877,0.2532834043658547
500,456.0,49,505004,12,0.026022123809042386,0.21667137186226437
500,456.0,50,505005,7,0.010745243790518375,0.3232605983044714
500,456.0,51,505006,13,0.0320525916847685,0.22370202663847688
500,456.0,52,505007,13,0.039849662742132225,0.21750423621975332
500,456.0,53,505008,12,0.02959405335563852,0.16329124133705059
500,456.0,54,505009,10,0.029765625387059173,0.22955194012149818
500,456.0,55,505010,13,0.027949213174915395,0.21148136778948237
500,456.0,56,505011,8,0.012033548158146674,0.2657437064428182
500,456.0,57,505012,6,0.021389329753604996,0.30759493416980815
500,456.0,58,505013,10,0.029237187756049693,0.22149520413974844
500,456.0,59,505014,13,0.04272229746144322,0.24994580509070427
500,456.0,60,505015,10,0.028553564708130134,0.13681670582346733
500,456.0,61,505016,9,0.016951757742365906,0.27347351021002414
500,456.0,62,505017,9,0.03165562589889306,0.22044774218219748
500,456.0,63,505018,5,0.01064598246062438,0.3966956383255604
500,456.0,64,505019,8,0.016049274876638743,0.30327998817447704
500,456.0,65,505020,10,0.03677436712647415,0.303305257098345
500,456.0,66,505021,11,0.04396085405779114,0.20887445959716655
500,456.0,67,505022,7,0.012448853098334824,0.330814455258549
500,456.0,68,505023,6,0.014229045749889525,0.3160436133463711
500,456.0,69,505024,9,0.03684586976869098,0.24621435402740457
500,456.0,70,505025,7,0.021411459779536474,0.3128228366222868
500,456.0,71,505026,11,0.03198555305732343,0.21358308944133833
500,456.0,72,505027,7,0.024326887767590556,0.3142810520004568
500,456.0,73,505028,9,0.020273725758942363,0.2387133006357
500,456.0,74,505029,9,0.01687156952883204,0.23813034330458258
500,456.0,75,505030,8,0.025389095364716154,0.2783123052706379
500,456.0,76,505031,9,0.017500072525691388,0.26086368097707774
500,456.0,77,505032,11,0.028800946363017315,0.2099968654931522
500,456.0,78,505033,11,0.031341164202518645,0.3400204935678906
500,456.0,79,505034,7,0.012042659638437866,0.230938910848176
500,456.0,80,505035,11,0.025312215511931597,0.2647457054084367
500,456.0,81,505036,10,0.023496137869765912,0.2589356612497701
500,456.0,82,505037,9,0.023213520881893053,0.33228720936144696
500,456.0,83,505038,10,0.017499133487389896,0.1713614702231439
500,456.0,84,505039,10,0.02189858293489886,0.34917678810600483
500,456.0,85,505040,9,0.012045055401632702,0.3073136605126657
500,456.0,86,505041,8,0.01188336720920925,0.2662057200880141
500,456.0,87,505042,6,0.0033421016809936977,0.39274225996196954
500,456.0,88,505043,11,0.01852579613802501,0.22936443615580346
500,456.0,89,505044,12,0.031815388499447296,0.21471517616196292
500,456.0,90,505045,11,0.036134029223335,0.22981917139989566
500,456.0,91,505046,11,0.028684051478458393,0.26398502310941
500,456.0,92,505047,8,0.016496493100080355,0.3047110509208219
500,456.0,93,505048,12,0.03851688723720646,0.19396954185266718
500,456.0,94,505049,12,0.025732806139400773,0.2640927851400127
500,456.0,95,505050,9,0.008535010568957838,0.3578878179256953
500,456.0,96,505051,8,0.025525110892747012,0.224021019284082
500,456.0,97,505052,12,0.04179681359499268,0.22002439861858822
500,456.0,98,505053,9,0.013999624725205027,0.3068365369472934
500,456.0,99,505054,9,0.027085907323341863,0.37127172302597955
500,456.0,100,505055,13,0.02490818838542479,0.21341501332147592
500,789.0,1,505289,13,0.033493349868078136,0.1542871175398964
500,789.0,2,505290,10,0.02815768128154132,0.24639537102369508
500,789.0,3,505291,9,0.020475201868087146,0.22862963249910012
500,789.0,4,505292,7,0.01038460324036503,0.30541289386564363
500,789.0,5,505293,10,0.014763701399058426,0.3453297875007073
500,789.0,6,505294,7,0.016216490388047008,0.24903664078023108
500,789.0,7,505295,11,0.03884860801329284,0.25869685121031144
500,789.0,8,505296,9,0.017329206223121233,0.30923854826582475
500,789.0,9,505297,8,0.026048568510776065,0.3184542185269257
500,789.0,10,505298,9,0.026299191768940654,0.2070653543665073
500,789.0,11,505299,6,0.018807665543847822,0.3134265993343758
500,789.0,12,505300,11,0.031063329215716928,0.3007141738954847
500,789.0,13,505301,11,0.0346761750014533,0.3583268867962363
500,789.0,14,505302,11,0.029891511002930655,0.245206477555294
500,789.0,15,505303,10,0.014015356426737546,0.18352665228081594
500,789.0,16,505304,6,-0.0029448414235014346,0.4769541182588852
500,789.0,17,505305,9,0.01553009124471717,0.24797284836299896
500,789.0,18,505306,11,0.016538872540975063,0.23990482467197113
500,789.0,19,505307,9,0.020554037190937357,0.30335097041635894
500,789.0,20,505308,13,0.04925800386602539,0.18270430144298627
500,789.0,21,505309,9,0.030229621933466472,0.2995427715700866
500,789.0,22,505310,12,0.03578068210587375,0.2378765220160906
500,789.0,23,505311,8,0.016425586295729374,0.32865504531307016
500,789.0,24,505312,14,0.052213489636891396,0.19576154720857392
500,789.0,25,505313,5,0.0035424235842505146,0.3900297551068429
500,789.0,26,505314,11,0.034469816770856324,0.2249493696397761
500,789.0,27,505315,12,0.04032566491792018,0.18944071711106328
500,789.0,28,505316,8,0.00818418844765307,0.2790587385120811
500,789.0,29,505317,9,0.030732350653620306,0.2673300873932586
500,789.0,30,505318,15,0.037798311388239796,0.15008692025880518
500,789.0,31,505319,10,0.02920464177648626,0.29785875429878117
500,789.0,32,505320,10,0.02739610669701868,0.3117237832187811
500,789.0,33,505321,10,0.03064078600607107,0.2756589183551115
500,789.0,34,505322,12,0.035021655840996244,0.26136048334437095
500,789.0,35,505323,11,0.025731523230556906,0.32851561770725424
500,789.0,36,505324,8,0.01465870840552555,0.3071621998070069
500,789.0,37,505325,9,0.012780627417386817,0.31170577163730256
500,789.0,38,505326,7,0.004177009568557055,0.38266229462063045
500,789.0,39,505327,9,0.028584082789901426,0.22876675482337322
500,789.0,40,505328,8,0.014942760604508035,0.2431145735807491
500,789.0,41,505329,9,0.02025051685254585,0.3434480139209034
500,789.0,42,505330,10,0.01572824502396068,0.267166736440463
500,789.0,43,505331,12,0.03521101876597095,0.23121493629325726
500,789.0,44,505332,10,0.008397622549321538,0.26762327958192267
500,789.0,45,505333,8,0.012887491975393944,0.2706244077846852
500,789.0,46,505334,11,0.02011660532911416,0.22384296323518899
500,789.0,47,505335,12,0.04384658208913496,0.2499588550292271
500,789.0,48,505336,8,0.01816090994511516,0.38424684711433116
500,789.0,49,505337,4,0.011031936853491324,0.38207797895975804
500,789.0,50,505338,13,0.038978820039684524,0.2254507662009395
500,789.0,51,505339,10,0.02233083400841302,0.3693469692256791
500,789.0,52,505340,12,0.031801569905355875,0.2135752835651712
500,789.0,53,505341,7,0.01936697235587203,0.30671961639019824
500,789.0,54,505342,10,0.01636612987341484,0.27660382485045204
500,789.0,55,505343,7,0.019954015106392373,0.21006224126905546
500,789.0,56,505344,11,0.0208142197103909,0.20965274795962152
500,789.0,57,505345,11,0.03355708257546428,0.15393113362522157
500,789.0,58,505346,6,0.019461550958003268,0.34227055265316386
500,789.0,59,505347,10,0.018507877124365513,0.4301453482006209
500,789.0,60,505348,10,0.018516932882562356,0.31625476604841124
500,789.0,61,505349,8,0.017955280263232825,0.23748695059570601
500,789.0,62,505350,13,0.03718369922233034,0.2779095388747989
500,789.0,63,505351,11,0.016934663167373933,0.307602806726006
500,789.0,64,505352,9,0.014733996296437332,0.29756655806404936
500,789.0,65,505353,10,0.02624410515982319,0.23583556456857874
