rank,state_id,logistic_regression_coefficient,absolute_logistic_regression_coefficient,random_forest_feature_importance,total_retained_trace_count,visited_trace_count,target_traces_when_visited,success_traces_when_visited,target_probability_when_visited,target_probability_when_not_visited,probability_difference,probability_ratio,support_fraction,normalized_positive_logistic_coefficient,normalized_random_forest_importance,normalized_positive_probability_difference,support_reliability_weight,combined_ranking_score
16,56,0.11849981794022854,0.11849981794022854,0.006434037227541411,9723,1202,407,795,0.3386023294509151,0.322145288111724,0.016457041339191125,1.051085773862021,0.1236243957626247,0.23794455327524183,0.09367000618259061,0.07495210719855731,0.9600638977635783,0.13010999289695965
17,67,-0.0543510179667636,0.0543510179667636,0.01459252853425624,9723,1337,482,855,0.3605086013462977,0.3183877891724302,0.04212081217386748,1.1322940565131283,0.1375089992800576,0.0,0.21244549723342648,0.19183543167189884,0.9639509733237203,0.1299023316381687
18,74,-0.0543510179667636,0.0543510179667636,0.014100397936001948,9723,1337,482,855,0.3605086013462977,0.3183877891724302,0.04212081217386748,1.1322940565131283,0.1375089992800576,0.0,0.20528080816638225,0.19183543167189884,0.9639509733237203,0.12760019530492234
19,36,0.1067840956216618,0.1067840956216618,0.007686640884419247,9723,1370,457,913,0.33357664233576645,0.322638572967796,0.010938069367970427,1.0339019270614682,0.14090301347320786,0.21441968748351328,0.11190605116253509,0.04981644822517477,0.9647887323943662,0.12096591455717741
20,22,0.1276518146501467,0.1276518146501467,0.00737427057283523,9723,7549,2420,5129,0.32057226122665256,0.33670653173873044,-0.016134270512077886,0.9520820982332551,0.7764064589118584,0.25632152470499014,0.10735840433014128,0.0,0.993420186866693,0.1204289943539153
21,17,0.1276518146501467,0.1276518146501467,0.00677010945909893,9723,7549,2420,5129,0.32057226122665256,0.33670653173873044,-0.016134270512077886,0.9520820982332551,0.7764064589118584,0.25632152470499014,0.09856271769396291,0.0,0.993420186866693,0.11751639013333758
22,3,0.07702467884804855,0.07702467884804855,0.006916290099222024,9723,1395,481,914,0.34480286738351257,0.3207252641690682,0.024077603214444354,1.0750723622500533,0.14347423634680653,0.15466355238547577,0.10069089025185432,0.10965926742346399,0.9653979238754326,0.11746115929291989
23,30,0.1067840956216618,0.1067840956216618,0.006105194448110934,9723,1370,457,913,0.33357664233576645,0.322638572967796,0.010938069367970427,1.0339019270614682,0.14090301347320786,0.21441968748351328,0.08888254473451263,0.04981644822517477,0.9647887323943662,0.11356164136318896
24,5,0.07702467884804855,0.07702467884804855,0.00581609534861157,9723,1395,481,914,0.34480286738351257,0.3207252641690682,0.024077603214444354,1.0750723622500533,0.14347423634680653,0.15466355238547577,0.08467369211526307,0.10965926742346399,0.9653979238754326,0.11230683601713101
25,12,0.1276518146501467,0.1276518146501467,0.00506214324201821,9723,7549,2420,5129,0.32057226122665256,0.33670653173873044,-0.016134270512077886,0.9520820982332551,0.7764064589118584,0.25632152470499014,0.0736972715587156,0.0,0.993420186866693,0.10928244475127054
26,73,-0.15463020348749865,0.15463020348749865,0.019120276199501327,9723,7652,2404,5248,0.3141662310507057,0.36117817479478515,-0.047011943744079465,0.8698372520133842,0.7869998971510851,0.0,0.2783627645413095,0.0,0.9935081796935861,0.09218522783130356
27,26,-0.008012256330180493,0.008012256330180493,0.006553044947787614,9723,133,51,82,0.38345864661654133,0.32335766423357665,0.060100982382964685,1.1858653405522837,0.013678905687544997,0.0,0.09540258146883861,0.27372449163015733,0.726775956284153,0.08942422718063107
28,78,-0.5610833429495566,0.5610833429495566,0.013857784990770996,9723,368,127,241,0.3451086956521739,0.32335649385355425,0.02175220179861964,1.0672700323392021,0.03784840069937262,0.0,0.20174872476741135,0.0990684368721969,0.8803827751196173,0.08827808252262827
29,20,0.03516402821803451,0.03516402821803451,0.003937629106396865,9723,168,62,106,0.36904761904761907,0.32339089481946626,0.04565672422815281,1.141181229773463,0.017278617710583154,0.07060845435153824,0.057326019371181695,0.20793942350585817,0.7706422018348624,0.08627953323302924
30,34,0.03516402821803451,0.03516402821803451,0.0036854235033267416,9723,168,62,106,0.36904761904761907,0.32339089481946626,0.04565672422815281,1.141181229773463,0.017278617710583154,0.07060845435153824,0.053654281150933666,0.20793942350585817,0.7706422018348624,0.08533633442415818
31,15,0.03516402821803451,0.03516402821803451,0.0035089966747034345,9723,168,62,106,0.36904761904761907,0.32339089481946626,0.04565672422815281,1.141181229773463,0.017278617710583154,0.07060845435153824,0.05108576910422377,0.20793942350585817,0.7706422018348624,0.0846765331644529
32,11,0.03516402821803451,0.03516402821803451,0.0032625132069990853,9723,168,62,106,0.36904761904761907,0.32339089481946626,0.04565672422815281,1.141181229773463,0.017278617710583154,0.07060845435153824,0.0474973366585826,0.20793942350585817,0.7706422018348624,0.0837547340041047
33,0,0.12569245694888428,0.12569245694888428,0.0,9723,9723,3152,6571,0.32417977990332203,,,,1.0,0.2523871853866931,0.0,0.0,0.9948838637061291,0.08369864604914276
34,1,0.12569245694888428,0.12569245694888428,0.0,9723,9723,3152,6571,0.32417977990332203,,,,1.0,0.2523871853866931,0.0,0.0,0.9948838637061291,0.08369864604914276
35,27,0.03516402821803451,0.03516402821803451,0.0031283820991770653,9723,168,62,106,0.36904761904761907,0.32339089481946626,0.04565672422815281,1.141181229773463,0.017278617710583154,0.07060845435153824,0.04554458735753957,0.20793942350585817,0.7706422018348624,0.08325311033044226
36,62,-0.2695709738593054,0.2695709738593054,0.01658901815692622,9723,1720,562,1158,0.3267441860465116,0.3236286392602774,0.0031155467862342134,1.009626919278082,0.17690013370358942,0.0,0.241511414741404,0.01418947621817331,0.9717514124293786,0.08282590064980659
37,66,-0.15463020348749865,0.15463020348749865,0.017077805739271607,9723,7652,2404,5248,0.3141662310507057,0.36117817479478515,-0.047011943744079465,0.8698372520133842,0.7869998971510851,0.0,0.248627434472263,0.0,0.9935081796935861,0.08233779661480813
38,8,0.03516402821803451,0.03516402821803451,0.002865329181910915,9723,168,62,106,0.36904761904761907,0.32339089481946626,0.04565672422815281,1.141181229773463,0.017278617710583154,0.07060845435153824,0.04171492838677786,0.20793942350585817,0.7706422018348624,0.08226934472327413
39,19,0.041860650630014457,0.041860650630014457,0.005187411760079137,9723,1227,419,808,0.3414832925835371,0.321680790960452,0.01980250162308511,1.0615594781521154,0.1261956186362234,0.08405509803393839,0.07552099474312975,0.09018870365953835,0.9608457321848082,0.07999514623537357
40,14,0.041860650630014457,0.041860650630014457,0.005146606264844656,9723,1227,419,808,0.3414832925835371,0.321680790960452,0.01980250162308511,1.0615594781521154,0.1261956186362234,0.08405509803393839,0.07492692746379602,0.09018870365953835,0.9608457321848082,0.07980487723204743
41,10,0.041860650630014457,0.041860650630014457,0.0049516209965781745,9723,1227,419,808,0.3414832925835371,0.321680790960452,0.01980250162308511,1.0615594781521154,0.1261956186362234,0.08405509803393839,0.07208823215661722,0.09018870365953835,0.9608457321848082,0.07889569447508882
42,87,-0.25519984479579444,0.25519984479579444,0.014751778209839745,9723,642,213,429,0.3317757009345794,0.32364277061997576,0.008132930314603659,1.025129343377651,0.0660290033940142,0.0,0.2147639354968281,0.037040695968047634,0.9277456647398844,0.07787021840098758
43,7,0.041860650630014457,0.041860650630014457,0.0044291026572305025,9723,1227,419,808,0.3414832925835371,0.321680790960452,0.01980250162308511,1.0615594781521154,0.1261956186362234,0.08405509803393839,0.06448114280567231,0.09018870365953835,0.9608457321848082,0.07645928136268752
44,49,0.027691843763766044,0.027691843763766044,0.007604276432984682,9723,794,268,526,0.33753148614609574,0.3229924963601747,0.014538989785921053,1.0450133979883804,0.08166203846549419,0.055604502253840296,0.11070694733359293,0.06621651477522784,0.9407582938388626,0.07291753700788028
45,25,0.027717360207551237,0.027717360207551237,0.007581867808755413,9723,1782,593,1189,0.3327721661054994,0.32225160559123533,0.010520560514264088,1.0326470383133142,0.18327676643011417,0.05565573860950038,0.11038071111582379,0.04791494189032574,0.972707423580786,0.06937070230332754
46,47,-0.02967671790880023,0.02967671790880023,0.006189876412182626,9723,392,139,253,0.35459183673469385,0.32290215410995604,0.031689682624737814,1.098140201981888,0.040316774658027354,0.0,0.09011538809827109,0.14432779502845625,0.8868778280542986,0.06930748701785604
47,50,-0.22382618858579204,0.22382618858579204,0.009599128782890837,9723,1204,407,797,0.3380398671096346,0.32222091794811597,0.015818949161518603,1.0490934892192993,0.1238300935925126,0.0,0.13974902858690075,0.07204597405361728,0.960127591706539,0.06778340860690689
